,병원이름,주소,리뷰
65,24시독스동물병원,계산동,리뷰 없음
66,비엔동물전문의료센터,경인로 475,4.5(95)
67,아이케어동물병원,청라 에메랄드로102번길 10,4.4(9)
68,브레멘애니멀스,계산동,리뷰 없음
69,늘푸른동물병원,삼산동 54-2번지 광명상가 107호 부평구 인천광역시 KR,리뷰 없음
70,가좌동물병원,가좌3동 125-15,4.5(12)
71,길동물병원,KR 인천광역시 서구 신현동 303 금강아미움 길동물병원 2층,4.0(7)
72,BE동물병원,괴안동 87-1,4.3(61)
73,신정동물병원,갈산동 417,리뷰 없음
74,펫홈종합동물병원,1471-17 남구 인천광역시 KR,4.5(114)
75,하나동물병원,작전동 423-2,리뷰 없음
76,청라종합동물병원,119(118 KR 인천광역시 서구 청라커낼로 252 롯데캐슬단지내상가 C동,5.0(13)
77,서울종합동물병원,갈산동 364-4,3.0(2)
78,아이러브펫동물병원작전점,작전동 448-7,리뷰 없음
79,현대동물병원,부평3동 274-21,4.3(8)
80,자연동물병원,작전동 428-6번지 1층 101호 계양구 인천광역시 KR,리뷰 없음
81,원당동물병원,인천 서구 당하동 22-14,3.8(12)
82,혜인동물병원,목3동 613-8,4.6(38)
83,서울프라임동물병원,화정2동 1148-1,4.7(84)
84,서구동물병원,석남1동 454-3,4.1(8)
85,서울베스트동물병원,중동 771-16,5.0(6)
86,24시동물병원,심곡동 394-3,3.3(30)
87,쿨펫동물병원,청천1동 1-3,리뷰 없음
88,참동물병원,마곡동 마곡서로 133 엠벨리7단지 712동 102-1호,4.5(14)
89,24시쥬라기동물종합병원,부개2동 85-4,3.3(8)
90,파스텔동물병원,화곡1동 1070-1,4.7(20)
91,거부기동물병원,장항동 742-1,4.6(125)
92,24시유앤미동물병원,남동대로 910,3.6(56)
93,마이펫동물병원,간석4동 216-4,4.5(16)
94,세명동물병원,화곡1동 353-58,4.7(10)
95,동암동물병원,간석4동 570-5,3.7(29)
96,백운동물병원,산곡동 310-101,4.6(5)
97,두암한방동물병원,목동중앙북로 73,4.6(36)
98,행복한동물병원,상동 546-3,3.7(3)
99,송내 훈동물병원,송내동 315-3번지 상가동 지하1층 비 102호 송내역파인푸르지오2단지 부천시 경기도 KR,4.6(5)
100,고강동물병원,고강동 474-1,3.9(14)
101,해담동물병원,철산동,4.6(75)
102,부평스카이동물의료센터,부흥로 351,3.0(10)
103,브라운동물병원 본점,숭의2동,4.4(28)
104,S동물병원,상2동,3.7(3)
105,주주동물병원,간석1동 343-5,4.4(12)
106,예동물병원,삼산동,2.5(2)
107,기린동물병원,중동 번지 103호 1058-1 KR 신명타운,5.0(4)
108,찬샘 동물병원,인주대로591번길 64 타원벨라움 2층,4.7(18)
109,한스동물병원,부평4동 408-2,3.0(2)
110,24시웰니스동물의료센터,중동 1128번지 KR 2층 2023호 호 205호,3.7(11)
111,글로리동물병원,시흥대로 483,4.6(76)
112,맘스동물의료센터,상동 544-1번지 202호 로얄타워 부천시 경기도 KR,1.0(2)
113,소풍동물병원,상2동,1.0(2)
114,우리동생동물병원,성산동 17-23번지 마포구 서울특별시 KR,4.4(62)
115,아이러브펫동물병원,상2동 540-1,3.5(2)
116,강서동물병원,화곡1동 421-23,3.4(35)
117,서울탑동물병원,237,3.9(25)
118,굿모닝동물병원,방화3동 830-3,4.0(5)
119,햇빛동물병원,삼정동 342-3번지 1층 101호 부천시 경기도 KR,리뷰 없음
120,애나동물병원,청천동 181-32,리뷰 없음
121,소망동물병원,구월1동 1149-5,5.0(11)
122,애니웰동물병원,백석동 1314,4.6(19)
123,온누리동물병원,용현동 146-275,4.7(15)
124,참사랑동물병원,신정7동 337-7,4.8(18)
125,대현동물병원,목2동 531.13,4.4(20)
126,채움동물병원,상동 번지 103호 538-6 KR 대신스카이빌,5.0(1)
127,서서울호수동물병원,신월1동 130-5,4.4(5)
128,부천종합동물병원,심곡본동 527-12번지 부천시 경기도 KR,4.2(5)
129,루원하이동물병원,KR 인천 서구 가정동 619-4,5.0(4)
130,쿨펫동물병원(이마트검단점),서곶로 754 이마트 3층 동물병원,3.7(6)
131,런던동물병원,송내동 385,5.0(6)
132,진스종합동물병원,장항동 883,4.6(14)
133,동물사랑병원,상동 524-4번지 KR 1층,리뷰 없음
134,이지동물의료센터,부일로 712,3.8(10)
135,해피동물병원,고척동 50-95,4.2(15)
136,쿨펫동물병원,중1동 1157,4.0(1)
137,쓰담 동물병원,"중동1161-3, 일신빌딩 108호",5.0(1)
138,24시포인트동물의료센터,미추홀구 낙섬중로 92,4.2(31)
139,민병철동물병원,신월동 50-5,3.2(12)
140,건국본동물병원,주안동 1464-22,3.9(17)
141,아프리카동물병원,상2동 544-11,5.0(1)
142,시온동물병원,화곡동 까치산로 74,3.9(11)
143,주안동물병원,주안5동 24-2,3.7(13)
144,지오동물병원,학익1동 437-31,4.1(11)
145,루이동물병원,심곡동 283-5,리뷰 없음
146,엘림동물병원,도당동 141-3번지 부천시 경기도 KR,5.0(2)
147,와우동물병원,방화3동 830-3,3.3(7)
148,길동물병원,만수5동,3.3(22)
149,삼산종합동물병원,삼산동 체육관로 40,리뷰 없음
150,이십오시동물병원,부평4동 143-9,리뷰 없음
151,고득영동물병원,화곡2동 861-8,4.0(11)
152,자연동물병원,구월1동 1240-3,4.8(5)
153,조규만동물병원,상동 463,3.7(3)
154,ACE동물병원,송도동 23-4 B동 101호,5.0(26)
155,큐피트동물병원,심곡동 399-11,4.0(2)
156,서울대학교 수의과대학부속동물병원,관악로 1,4.4(79)
157,고촌동물병원,고촌읍 신곡리,3.5(2)
158,도그플러스동물병원,상2동 540-1,리뷰 없음
159,고려동물병원,부평1동 529-79,5.0(1)
160,우리앤동물병원,상2동 557-3,1.0(1)
161,가야동물병원,심곡2동 121,2.5(2)
162,더본동물병원,중1동 1150-6,5.0(1)
163,위드펫동물병원,중산동 스카이메디칼프라자 1층,4.5(17)
164,하늘동물병원,운서동 2789-2,4.6(70)
165,라파동물병원,산곡동 100 102번지 2층 201호,리뷰 없음
166,튼튼동물병원,백석동 1309,3.8(16)
167,위즈펫동물병원,산곡동 159-52,리뷰 없음
168,메디케어동물병원,삼산동 465-1번지 롯데마트삼산점 지하동 3층 부평구 인천광역시 KR,리뷰 없음
169,아이러브독동물병원,심곡동 242-7,리뷰 없음
170,강/현림종합동물병원,목3동 657-16,4.6(5)
171,카라동물병원,"2 층, 122 잔다리로",4.6(12)
172,계양가축병원,이화동 2,리뷰 없음
173,팜펫동물병원,중동 1034-4번지 드림빌딩 105호 부천시 경기도 KR,리뷰 없음
174,쿨펫동물병원,중3동 1059,리뷰 없음
175,안상수동물병원,용현동 622-149,3.9(13)
176,일오삼동물병원,신월7동 972-6,3.0(2)
177,연희동물병원,심곡동 304-10,리뷰 없음
178,아이러브도그동물병원,중1동 1135-1,리뷰 없음
179,안양동물병원,안양3동 안양로 347,4.3(207)
180,길동물병원,중동 1144-2,리뷰 없음
181,웰니스 동물병원,중동 1128번지 웰니스동물의료센터 그린프라자 2층,리뷰 없음
182,송정종합동물병원,공항동 45-37,5.0(1)
183,팻가든동물병원,삼산동,리뷰 없음
184,부개종합동물병원,부개동 498-11번지 102호 신성프라자 부평구 인천광역시 KR,리뷰 없음
185,라임동물병원,원종동 373-12,5.0(1)
186,페트로동물병원,산곡동 307-15,5.0(1)
187,D&C동물병원,간석4동 573-1,3.7(3)
188,동수사랑동물병원,부평3동,1.0(1)
189,라파동물병원,종합병원 · 마장로 312 2층,리뷰 없음
190,하나동물병원,사우동 937,3.4(5)
191,보스야간진료동물병원,상3동 538-6,리뷰 없음
192,가나동물병원,송내동 368,1.0(1)
193,세인트동물병원(24시),화곡8동 342-57,3.4(12)
194,펫홈종합동물병원,앵고개로 944,4.4(17)
195,상동물병원,상동 564-14번지 부천시 경기도 KR,리뷰 없음
196,다나 종합동물병원,동물 병원,리뷰 없음
197,라파엘동물병원,종합병원 · 심곡동,리뷰 없음
198,달래동물의료센터(Dallae Veterinary Clinic),한남동 프라자 76 2층 달래동물의료센터,4.6(22)
199,고려종합동물병원,가양1동,5.0(2)
200,홈종합동물병원,풍무동 407-19,3.0(1)
201,늘봄동물병원,소사본3동 160-29,3.0(2)
202,우장동물병원,화곡3동 1066-10,5.0(2)
203,24시독스동물병원,원종동 100-1,리뷰 없음
204,메이플동물병원,원당동 824-6번지 삼정프라자 111호,리뷰 없음
205,아름다운동물병원,상1동 401-1,리뷰 없음
206,황하동물병원,방화동 567-14,5.0(1)
207,동물병원케이,부평1동 529-79,리뷰 없음
208,한마음동물병원,풍무동 147,4.0(1)
209,청담우리동물병원,삼성동 70-6,4.4(118)
210,레인보우동물병원,부평동 534-160,리뷰 없음
211,산본중앙동물병원,산본동,4.6(51)
212,사랑동물병원,부개동 86-1번지 103호 부평구 인천광역시 KR,리뷰 없음
213,보람동물병원,구월3동 1394-9,3.6(7)
214,CJ동물병원,중동 1134번지 새롬프라자 6호 차105동 부천시 경기도 KR,리뷰 없음
215,노성남동물병원,옥련동 196,4.0(5)
216,VIP동물의료센터,동선동 동소문로 73,3.9(127)
217,바로동물병원,종합병원 · 원미2동 190-17,5.0(1)
218,대한동물병원,서울특별시 강서구 화곡로 205 대한동물병원,3.3(6)
219,이리온 동물병원 청담점,청담동 도산대로 445,4.1(56)
220,민동물병원,성사동 699-1,4.6(5)
221,24시온누리동물메디컬센터,고잔동 525-1,4.1(62)
222,아라종합동물병원,주안1동,5.0(2)
223,서울동물병원,과천동 513-4번지 1층 과천시 경기도 KR,4.4(24)
224,24시 넬 동물의료센터 평촌본원,응급 평촌동 시민대로 312,4.3(33)
225,고양이병원 백산동물병원,역삼동 725-15,3.9(102)
226,덕수동물병원,구월1동 1206-5,2.5(2)
227,동물의왕국동물병원,구월3동 1406-7,5.0(4)
228,수동물병원,수의사 · 고강동 319-4,5.0(1)
229,그루터기동물병원,풍무동 425번지 1층 그린씨티 김포시 경기도 KR,리뷰 없음
230,콜펫동물병원,가좌1동 118,리뷰 없음
231,24시 예담동물의료센터,역촌동 연서로 122,4.7(6)
232,원종동물병원,원종동 230-4,리뷰 없음
233,시흥동물병원,대야동 495,3.7(3)
234,부부동물병원,원종동 229-3,리뷰 없음
235,스마일동물병원,내발산동,리뷰 없음
236,청담 눈초롱 안과동물병원,도산대로 539,4.2(52)
237,N동물의료센터 노원점,상계동 노원로 408,4.5(101)
238,포레동물병원(forêt animal hospital),성수일로33 포레동물병원,4.7(17)
239,VIP동물의료센터 노원점,동일로 1333,4.7(24)
240,J동물병원,청라동 커낼로 270,리뷰 없음
241,박동물병원,가양동 968,리뷰 없음
242,메디펫동물병원,서초2동 1343-1,4.1(11)
243,이안동물의학센터 Ian,선릉로 806,4.1(33)
244,행복한고양이동물병원,가람로 21번길 7-5 KR,4.0(5)
245,파리스동물병원,애완동물입양기관 · 목동 903번지 상가동 105호 호 목동신시가지3단지아파트 양천구 서울특별시 KR,3.6(14)
246,애니힐동물병원,구월동 1526-1번지 104호 구월메디컬프라자 남동구 인천광역시 KR,리뷰 없음
247,에코동물병원,137-3 청공 빌딩 101 호,4.0(119)
248,(주)해마루,황새울로319번길 8-6,4.1(80)
249,한국동물병원,용현5동 낙섬중로 25,5.0(1)
250,에이드동물병원,신사동 586-4,4.6(5)
251,봄날동물병원,의사 · 목동중앙로 89,5.0(4)
252,다니엘동물병원,마두동 751-2,1.0(1)
253,경동동물병원,경동 240-60,리뷰 없음
254,멍멍야옹 동물병원,종합병원 · 구월1동 1461,5.0(1)
255,경희동물병원,주안5동,리뷰 없음
256,쿨펫동물병원,구월1동 1130,리뷰 없음
257,레이동물병원,송정로 20 KR 레이동물병원,4.7(19)
258,웨스턴동물의료센터,· 노고산동 신촌로 110,4.4(16)
259,신일산동물병원,마두동 759,리뷰 없음
260,서울탑동물병원,237,광고 3.9(25)
261,시민동물병원,주안동 1455-8,리뷰 없음
262,신도림동물병원,신도림동 365,리뷰 없음
263,우리동물병원,용현동 622-129,리뷰 없음
264,비바동물병원,쑥고개로 57-1,5.0(1)
265,경기가축병원,주안동 1417-93,리뷰 없음
266,힐링동물병원,신공덕동 172번지 펜트라하우스 105동 B235호 마포구 서울특별시 KR,1.0(1)
267,송도힐동물메디칼센타,송도동 2-3,2.2(6)
268,오아시스 정형외과 신경외과 동물병원,"센트럴타운로 107, 광교 푸르지오 월드마크, 월드스퀘어 2층 2-06~2-09호",3.9(27)
269,뉴욕동물병원,영등포로 184,리뷰 없음
270,웰동물병원,청학동 503-3번지 1층 109호 소망빌딩 연수구 인천광역시 KR,리뷰 없음
271,우리동네 동물병원,신갈동 722,4.4(5)
272,청담리덴동물치과병원,도산대로 301 540,5.0(3)
273,인천시민약국,약국 · 계산동 944-30번지 1층 계양구 인천광역시 KR,4.0(3)
274,건국대부속동물병원,능동로 120,5.0(1)
275,우리동물병원생명협동조합,축협 · 성산동 253-16번지 3층 윤재빌딩 마포구 서울특별시 KR,리뷰 없음
276,동물권행동 카라,동물보호단체 · 잔다리로 122,4.2(25)
277,반려동물암센터,황새울로342번길 15 은성빌딩,리뷰 없음
278,한국동물병원협회,협회 또는 조직 · 서초2동 1358-1,리뷰 없음
279,녹십자동물병원,부여읍 구아리 141-5,4.3(24)
280,충남대학교 동물병원,궁동 220번지,4.5(14)
281,세종다온동물병원,세종 소담동 37-3,리뷰 없음
